External ID,Type,Title,Summary,State,Priority,Parent ID,Agent Owner,Labels,Acceptance Criteria,Depends On,Notes
"EPIC-0","epic","EPIC 0 — Human Gates","Clear all human-only blockers for infrastructure, API access, and data access before technical delivery proceeds.","Backlog","urgent","","founder","type:epic|human-gate|phase-0|owner:founder","All required external accounts and tokens exist and are stored securely. | The VPS and data-access prerequisites are confirmed. | Downstream infrastructure and automation work is unblocked.","",""
"EPIC-1","epic","EPIC 1 — Codebase Audit And Re-Baseline","Re-baseline product, architecture, navigation, and planning artifacts to the new Tarteel-inspired target while preserving working foundations.","Done","urgent","","orchestrator","type:epic|refactor|phase-0|owner:orchestrator","Asset-inventory, product, architecture, and navigation docs reflect the new target. | Existing high-value foundations are explicitly preserved. | The repo now has a canonical roadmap for the new plan.","EPIC-0",""
"EPIC-2","epic","EPIC 2 — VPS Infrastructure Setup","Stand up the target runtime on the VPS with n8n, Supabase, Whisper.cpp, and Groq-backed OpenClaw.","Backlog","urgent","","infrastructure-operations","type:epic|infra|phase-1|owner:infrastructure-operations","Core services run on the VPS. | Health-check automation verifies the runtime regularly. | Security and network boundaries are confirmed.","EPIC-0",""
"EPIC-3","epic","EPIC 3 — Data Foundation","Import Quranic text, reference audio metadata, and timestamp data into Supabase for the app and scoring workflows.","Backlog","urgent","","data-foundation","type:epic|data|phase-1|owner:data-foundation","Supabase contains the Quranic reference schema and imported content. | Al-Fatiha data is verified end to end. | Import scripts are idempotent and reusable.","EPIC-2",""
"EPIC-4","epic","EPIC 4 — Automation And Agent Stack Upgrade","Migrate and upgrade the automation layer and agent runtime for the VPS target environment.","Backlog","high","","automation-operations","type:epic|automation|ai-ops|phase-1|owner:automation-operations","VPS n8n has the required workflows. | GitHub and Plane automations are upgraded to the new runtime. | Agent runtime skills are versioned and aligned to the new roles.","EPIC-2",""
"EPIC-5","epic","EPIC 5 — Core App Refactor","Refactor the app to deliver the Phase 1 Tarteel-aligned user journey end to end.","Backlog","high","","mobile-engineering","type:epic|refactor|frontend|phase-1|owner:mobile-engineering","A signed-in user can browse, listen, record, score, and review results. | The Phase 1 user journey is runnable on device. | The preserved foundations remain intact and tests stay green.","EPIC-1|EPIC-3",""
"EPIC-6","epic","EPIC 6 — AI Core","Replace mock analysis with the real Whisper scoring pipeline while preserving confidence-aware trust rules.","Backlog","high","","speech-evaluation","type:epic|ai-ops|backend|phase-2|owner:speech-evaluation","Real audio can be scored end to end. | Confidence gating is enforced in stored and rendered results. | Validation evidence exists before stronger learner-facing claims.","EPIC-2|EPIC-5",""
"EPIC-7","epic","EPIC 7 — Phase 2 Features","Add memorization and progress features after the Phase 1 and AI core paths are validated.","Backlog","medium","","mobile-engineering","type:epic|new-feature|phase-2|owner:mobile-engineering","Memorization and progress features build on the stable Phase 1 flow. | Progress data comes from real recitation sessions. | Phase 2 remains scoped after the Phase 1 launch.","EPIC-5|EPIC-6",""
"TASK-0-1","task","Purchase Hostinger KVM 4 VPS","Provision the target Hostinger VPS and confirm SSH and OpenClaw access.","Backlog","urgent","EPIC-0","founder","type:task|infra|human-gate|phase-0|owner:founder","The VPS is provisioned and reachable over SSH. | OpenClaw is visible and running. | Access details are stored securely outside the repo.","",""
"TASK-0-2","task","Create Groq free account and store API key","Create the Groq account and secure the API key for the VPS agent runtime.","Backlog","urgent","EPIC-0","founder","type:task|infra|human-gate|phase-0|owner:founder","The account exists with a working API key. | The key is stored securely and not committed to the repo. | A test request succeeds.","",""
"TASK-0-3","task","Generate GitHub Personal Access Token for n8n automation","Create the GitHub token needed for webhook and PR automations.","Backlog","urgent","EPIC-0","founder","type:task|infra|human-gate|phase-0|owner:founder","The token exists with the required repo scopes. | The token is stored securely. | Automation can use the token without manual re-entry.","",""
"TASK-0-4","task","Generate Plane API key for n8n automation","Create the Plane token and capture the workspace and project identifiers.","Backlog","urgent","EPIC-0","founder","type:task|infra|human-gate|phase-0|owner:founder","The token exists and is stored securely. | Workspace slug and project ID are recorded. | Plane automation has the required credentials.","",""
"TASK-0-5","task","Sign up at QUL and confirm Al-Husary data availability","Confirm the required QUL reference data is available for the planned scoring architecture.","Backlog","urgent","EPIC-0","founder","type:task|data|human-gate|phase-0|owner:founder","QUL access is confirmed. | Al-Husary ayah audio and timestamps are verified or an alternative is reported. | The data-foundation plan can proceed with confidence.","",""
"TASK-0-6","task","Confirm Tarteel API is still unavailable (final check)","Perform one final check for a public Tarteel API before the architecture proceeds without it.","Backlog","high","EPIC-0","founder","type:task|human-gate|phase-0|owner:founder","Tarteel API status is confirmed. | If an API exists, the plan is revisited before Epic 6. | If no API exists, the current architecture assumption stands.","",""
"TASK-1-1","task","Audit existing codebase against new Tarteel-aligned target","Classify current assets as keep, refactor, replace, or retire against the new product direction.","Done","urgent","EPIC-1","orchestrator","type:task|refactor|phase-0|owner:orchestrator","The repo has a written asset inventory. | Protected foundations are called out explicitly. | The audit is based on current code, not assumptions.","","Completed in docs/refactor/asset-inventory.md."
"TASK-1-2","task","Update product vision and scope docs to Tarteel-aligned target","Refresh the canonical product docs to match the new launch and Phase 2 direction.","Done","urgent","EPIC-1","product-discovery","type:task|refactor|phase-0|owner:product-discovery","Vision and MVP scope reflect the new launch target. | Tarteel alignment is documented explicitly. | User stories match the new flow.","TASK-1-1","Completed in docs/product/vision.md, docs/product/mvp-scope.md, docs/product/user-stories.md, and docs/product/tarteel-alignment.md."
"TASK-1-3","task","Update architecture docs to reflect new infrastructure","Refresh system and audio architecture docs for the VPS, Supabase, Whisper, and Groq runtime model.","Done","high","EPIC-1","systems-architect","type:task|refactor|phase-0|owner:systems-architect","System overview reflects the new runtime split. | Audio pipeline reflects Supabase and asynchronous scoring. | Infrastructure boundaries are documented.","TASK-1-2","Completed in docs/architecture/system-overview.md, docs/architecture/audio-pipeline.md, and docs/architecture/infrastructure.md."
"TASK-1-4","task","Produce keep/replace decision for navigation and screen structure","Define the target screen map for Phase 1 and Phase 2 and classify what exists today.","Done","high","EPIC-1","interface-and-design","type:task|refactor|frontend|phase-0|owner:interface-and-design","The new screen hierarchy is documented. | Existing screens are classified as keep-refactor, replace, or new-build. | No premature implementation is mixed into the audit.","TASK-1-1","Completed in docs/architecture/navigation-map.md."
"TASK-2-1","task","Add n8n to docker-compose.yml alongside OpenClaw","Add and boot the n8n service on the VPS next to the existing OpenClaw runtime.","Backlog","urgent","EPIC-2","infrastructure-operations","type:task|infra|phase-1|owner:infrastructure-operations","n8n is accessible on the VPS. | An admin account is created. | The service is running under Docker.","TASK-0-1",""
"TASK-2-2","task","Deploy Supabase self-hosted via Docker","Deploy the self-hosted Supabase stack on the VPS and isolate it on the internal network.","Backlog","urgent","EPIC-2","infrastructure-operations","type:task|infra|backend|phase-1|owner:infrastructure-operations","Supabase Studio is accessible. | Anon and service-role keys are captured securely. | OpenClaw cannot reach Supabase directly.","TASK-2-1",""
"TASK-2-3","task","Install and test Whisper.cpp on VPS","Install Whisper.cpp in server mode and verify Arabic transcription performance on the VPS.","Backlog","urgent","EPIC-2","infrastructure-operations","type:task|infra|phase-1|owner:infrastructure-operations","Whisper.cpp is installed and reachable over HTTP. | Arabic audio transcription succeeds. | Response time is acceptable for the planned early cohort.","TASK-2-1",""
